date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:40	58420/58420	---M--	200	added ('OK')	text/html	etag:%22f580283-e434-54c0571f54480%22	http://ckthemes.com/html/smartbox/dashboard.html	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/dashboard.html	(from )
16:09:41	153/153	---M--	200	added ('OK')	text/plain	etag:%22f024675-99-53cfea9a7c15c%22	http://ckthemes.com/robots.txt		(from )
16:09:42	923/923	---M--	200	added ('OK')	image/png	etag:%22f581f04-39b-54b0eeb9cdf0d%22	http://ckthemes.com/html/smartbox/assets/images/favicon.png	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/images/favicon.png	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:09:43	435/435	---M--	200	added ('OK')	text/css	etag:%22f5a01d2-1b3-54c3133471acb%22	http://ckthemes.com/html/smartbox/assets/plugins/morris/morris.css	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/plugins/morris/morris.css	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:09:47	152767/152767	---M--	200	added ('OK')	text/css	etag:%22f580366-254bf-54c31334712fb%22	http://ckthemes.com/html/smartbox/assets/css/bootstrap.css	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/css/bootstrap.css	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:09:47	59813/59813	---M--	200	added ('OK')	text/css	etag:%22f580369-e9a5-54c31334712fb%22	http://ckthemes.com/html/smartbox/assets/css/core.css	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/css/core.css	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:09:50	72568/72568	---M--	200	added ('OK')	text/css	etag:%22f580368-11b78-54c31334712fb%22	http://ckthemes.com/html/smartbox/assets/css/components.css	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/css/components.css	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:09:51	37376/37376	---M--	200	added ('OK')	text/css	etag:%22f58036a-9200-54c3133470f13%22	http://ckthemes.com/html/smartbox/assets/css/icons.css	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/css/icons.css	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:09:52	11838/11838	---M--	200	added ('OK')	text/css	etag:%22f58036e-2e3e-54c31334712fb%22	http://ckthemes.com/html/smartbox/assets/css/pages.css	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/css/pages.css	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:09:53	8065/8065	---M--	200	added ('OK')	text/css	etag:%22f58036f-1f81-54c31334716e3%22	http://ckthemes.com/html/smartbox/assets/css/responsive.css	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/css/responsive.css	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:09:54	11085/11085	---M--	200	added ('OK')	application/javascript	etag:%22f581f3b-2b4d-54c3133479bb3%22	http://ckthemes.com/html/smartbox/assets/js/modernizr.min.js	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/js/modernizr.min.js	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:09:55	1105/1105	---M--	200	added ('OK')	image/png	etag:%22f581f07-451-54b0eeb9d5c0d%22	http://ckthemes.com/html/smartbox/assets/images/m-logo.png	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/images/m-logo.png	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:09:56	3070/3070	---M--	200	added ('OK')	image/jpeg	etag:%22f581f0a-bfe-54b0eeb9d5825%22	http://ckthemes.com/html/smartbox/assets/images/users/avatar-1.jpg	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/images/users/avatar-1.jpg	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:09:59	43524/43524	---M--	200	added ('OK')	text/html	etag:%22f58028f-aa04-54c0571f54480%22	http://ckthemes.com/html/smartbox/mailbox.html	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/mailbox.html	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:00	41524/41524	---M--	200	added ('OK')	text/html	etag:%22f580280-a234-54c0571f54480%22	http://ckthemes.com/html/smartbox/calendar.html	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/calendar.html	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:00	3407/3407	---M--	200	added ('OK')	text/html	etag:%22f580246-d4f-54c0571f54480%22	http://ckthemes.com/html/smartbox/404.html	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/404.html	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:02	33682/33682	---M--	200	added ('OK')	text/html	etag:%22f580247-8392-54c0571f54480%22	http://ckthemes.com/html/smartbox/blank.html	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/blank.html	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:04	41150/41150	---M--	200	added ('OK')	text/html	etag:%22f58027e-a0be-54c0571f54480%22	http://ckthemes.com/html/smartbox/buttons.html	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/buttons.html	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:05	42021/42021	---M--	200	added ('OK')	text/html	etag:%22f580291-a425-54c0571f54480%22	http://ckthemes.com/html/smartbox/profile.html	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/profile.html	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:07	44581/44581	---M--	200	added ('OK')	text/html	etag:%22f580287-ae25-54c0571f54480%22	http://ckthemes.com/html/smartbox/form-elements.html	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/form-elements.html	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:07	3762/3762	---M--	200	added ('OK')	text/html	etag:%22f580288-eb2-54c0571f54480%22	http://ckthemes.com/html/smartbox/login.html	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/login.html	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:08	3703/3703	---M--	200	added ('OK')	text/html	etag:%22f58028a-e77-54c0571f54480%22	http://ckthemes.com/html/smartbox/login2.html	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/login2.html	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:32	51224/51224	---M--	200	added ('OK')	text/html	etag:%22f580281-c818-54c0571f54480%22	http://ckthemes.com/html/smartbox/chart.html	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/chart.html	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:32	5676/5676	---M--	200	added ('OK')	image/jpeg	etag:%22f581f0c-162c-54b0eeb9d543d%22	http://ckthemes.com/html/smartbox/assets/images/users/avatar-2.jpg	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/images/users/avatar-2.jpg	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:33	3598/3598	---M--	200	added ('OK')	image/jpeg	etag:%22f581f0d-e0e-54b0eeb9d5c0d%22	http://ckthemes.com/html/smartbox/assets/images/users/avatar-3.jpg	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/images/users/avatar-3.jpg	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:34	11062/11062	---M--	200	added ('OK')	image/png	etag:%22f581f05-2b36-54b0eeb9cdb25%22	http://ckthemes.com/html/smartbox/assets/images/logo-2.png	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/images/logo-2.png	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:39	170/170	---M--	200	added ('OK')	application/javascript	etag:%22f581f39-aa-54c31334793e3%22	http://ckthemes.com/html/smartbox/assets/js/loader.js	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/js/loader.js	(from http://ckthemes.com/html/smartbox/dashboard.html)
16:10:39	12569/12569	---M--	200	added ('OK')	application/javascript	etag:%22f581f3c-3119-54c31334793e3%22	http://ckthemes.com/html/smartbox/assets/js/pace.min.js	C:/Users/TRUNGDOAN/Desktop/theme/web_04_07/ckthemes.com/html/smartbox/assets/js/pace.min.js	(from http://ckthemes.com/html/smartbox/dashboard.html)
